World Rank,Institution,Location,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
68,Georgia Institute of Technology,USA,38,307,174,26,115,83.4
69,University of Colorado Boulder,USA,39,154,175,48,93,83.3
70,Heidelberg University,Germany,4,131,970,82,59,83.3
71,University of Virginia,USA,40,324,35,176,131,83.2
72,University of Texas Southwestern Medical Center,USA,41,39,-,39,165,83.1
73,Utrecht University,Netherlands,1,171,456,159,43,83.1
74,Weizmann Institute of Science,Israel,2,21,-,46,278,83
75,University of Pittsburgh,USA,42,234,205,262,34,83
76,"University of Maryland, College Park",USA,43,115,444,143,67,82.9
77,University of Alberta,Canada,4,323,467,67,87,82.9
78,University of Oslo,Norway,1,103,751,77,94,82.8
79,Technical University of Munich,Germany,5,79,356,141,84,82.8
80,Shanghai Jiao Tong University,China,4,-,162,-,36,82.7
81,"University of California, Irvine",USA,44,385,1255,31,108,82.6
82,University of Birmingham,United Kingdom,8,49,464,169,106,82.6
83,University of Amsterdam,Netherlands,2,241,748,197,44,82.5
84,University of Florida,USA,45,322,449,135,61,82.5
85,National University of Singapore,Singapore,1,342,172,-,41,82.4
86,Carnegie Mellon University,USA,46,57,121,38,220,82.4
87,Leiden University,Netherlands,3,112,1093,74,105,82.3
88,Uppsala University,Sweden,2,140,443,69,104,82.3
89,University of Göttingen,Germany,6,43,329,105,155,82.2
90,"University of California, Santa Barbara",USA,47,213,489,20,149,82.2
91,University of Rochester,USA,48,64,74,130,172,82.2
92,Osaka University,Japan,3,141,69,121,135,82.1
93,University of Arizona,USA,49,490,227,73,107,82.1
94,University of Bristol,United Kingdom,9,185,386,76,101,82
95,Erasmus University Rotterdam,Netherlands,4,526,72,267,89,82
96,National Taiwan University,Taiwan,1,300,42,-,125,81.9
97,Zhejiang University,China,5,-,370,-,37,81.9
98,University of Sydney,Australia,2,195,636,-,39,81.8
99,Boston University,USA,50,420,118,218,77,81.8
100,Keio University,Japan,4,505,13,-,392,81.8
101,École Polytechnique Fédérale de Lausanne,Switzerland,3,-,88,137,119,81.7
102,Fudan University,China,6,334,101,-,63,81.7
103,University of São Paulo,Brazil,1,480,364,138,83,81.6
104,University of Leeds,United Kingdom,10,126,436,51,137,81.6
105,University of Groningen,Netherlands,5,266,587,136,85,81.5
106,University of Basel,Switzerland,4,61,305,83,160,81.5
107,University of Queensland,Australia,3,415,662,240,48,81.5
108,Aarhus University,Denmark,2,249,304,155,88,81.4
109,University of New South Wales,Australia,4,519,116,-,62,81.4
110,University of Geneva,Switzerland,5,73,440,118,126,81.3
111,University of Texas MD Anderson Cancer Center,USA,51,-,-,90,97,81.3
112,Nagoya University,Japan,5,65,220,56,201,81.3
113,Sapienza University of Rome,Italy,1,419,499,99,100,81.2
114,University of Tübingen,Germany,7,56,1008,98,154,81.2
115,Indiana University Bloomington,USA,52,258,92,177,118,81.1
116,University of Utah,USA,53,247,198,132,114,81.1
117,University of Montreal,Canada,5,457,490,122,99,81.1
118,KU Leuven,Belgium,1,-,416,-,50,81
119,INSEAD,France,6,-,2,-,1683,81
120,University of Helsinki,Finland,1,199,820,163,92,81
121,University of Southampton,United Kingdom,11,448,300,108,117,80.9
122,Ghent University,Belgium,2,339,576,192,82,80.9
123,Monash University,Australia,5,-,495,-,56,80.9
124,Australian National University,Australia,6,166,566,79,136,80.8
125,University of Bonn,Germany,8,128,586,87,141,80.8
126,University of Glasgow,United Kingdom,12,127,394,139,123,80.7
127,University of Freiburg,Germany,9,108,215,100,161,80.7
128,University of Science and Technology of China,China,7,-,292,-,64,80.7
129,Emory University,USA,54,467,245,-,72,80.6
130,Sun Yat-sen University,China,8,-,372,-,69,80.6
131,Goethe University Frankfurt,Germany,10,183,808,34,198,80.6
132,University of Barcelona,Spain,1,-,598,-,68,80.5
133,Nanyang Technological University,Singapore,2,-,843,-,66,80.5
134,University of Liverpool,United Kingdom,13,144,552,97,150,80.5
135,University of Nottingham,United Kingdom,14,181,533,109,140,80.4
136,Case Western Reserve University,USA,55,68,276,184,163,80.4
137,Huazhong University of Science and Technology,China,9,-,182,-,90,80.4
138,Baylor College of Medicine,USA,56,81,-,209,127,80.3
139,University of Bern,Switzerland,6,151,1068,161,121,80.3
140,KTH Royal Institute of Technology,Sweden,3,237,53,182,236,80.3
141,University of Strasbourg,France,7,125,1401,52,203,80.3
142,University of Iowa,USA,57,102,278,186,143,80.2
143,Lund University,Sweden,4,192,500,255,95,80.2
144,Tohoku University,Japan,6,220,148,152,162,80.2
145,Tufts University,USA,58,80,67,167,257,80.1
146,Stockholm University,Sweden,5,159,228,94,182,80.1
147,Grenoble Alpes University,France,8,281,1018,237,102,80.1
148,University of Colorado Anschutz Medical Campus,USA,59,-,-,95,153,80
149,VU Amsterdam,Netherlands,6,-,1213,-,81,80
150,Michigan State University,USA,60,186,204,-,109,80
151,University of Sheffield,United Kingdom,15,196,629,151,145,79.9
152,University of Western Australia,Australia,7,239,613,198,128,79.9
153,Queen Mary University of London,United Kingdom,16,109,689,144,166,79.9
154,Nanjing University,China,10,482,351,-,96,79.9
155,Tel Aviv University,Israel,3,348,123,-,120,79.8
156,Cardiff University,United Kingdom,17,398,408,91,184,79.8
157,Tokyo Institute of Technology,Japan,7,326,98,75,275,79.8
158,Aix-Marseille University,France,9,512,935,-,98,79.7
159,Newcastle University,United Kingdom,18,483,555,89,189,79.7
160,Rice University,USA,61,121,107,115,256,79.7
161,Radboud University,Netherlands,7,456,681,-,103,79.7
162,University of Massachusetts Amherst,USA,62,488,266,71,225,79.6
163,University of Hong Kong,China,11,-,164,-,129,79.6
164,Korea University,South Korea,2,-,79,-,167,79.6
165,Technion – Israel Institute of Technology,Israel,4,101,419,68,260,79.5
166,Yonsei University,South Korea,3,-,112,-,144,79.5
167,University of Gothenburg,Sweden,6,413,404,147,174,79.5
168,University of Montpellier,France,10,468,1220,-,111,79.5
169,University of Hamburg,Germany,11,245,527,-,116,79.4
170,University of Padova,Italy,2,460,1427,-,112,79.4
171,Icahn School of Medicine at Mount Sinai,USA,63,-,-,-,113,79.4
172,McMaster University,Canada,6,429,764,228,138,79.4
173,University of Warwick,United Kingdom,19,433,189,224,170,79.3
174,Iowa State University,USA,64,333,149,154,219,79.3
175,University of Notre Dame,USA,65,305,38,-,292,79.3
176,Norwegian University of Science and Technology,Norway,2,254,508,60,258,79.2
177,Chinese University of Hong Kong,China,12,391,1292,246,133,79.2
178,Wageningen University & Research,Netherlands,8,414,827,206,159,79.2
179,University of Milan,Italy,3,459,573,-,124,79.2
180,Xi'an Jiaotong University,China,13,-,173,-,147,79.1
181,University of Bologna,Italy,4,-,790,-,122,79.1
182,Arizona State University,USA,66,435,635,261,142,79.1
183,Wuhan University,China,14,-,373,-,132,79.1
184,Autonomous University of Barcelona,Spain,2,-,-,-,130,79
185,University of Alabama at Birmingham,USA,67,-,1039,204,164,79
186,University of Cologne,Germany,12,340,236,181,200,79
187,University of Lausanne,Switzerland,7,255,711,131,214,79
188,North Carolina State University,USA,68,367,401,179,191,78.9
189,Western University,Canada,7,416,80,-,213,78.9
190,Sungkyunkwan University,South Korea,4,-,225,-,151,78.9
191,Institut national du service public,France,11,-,3,-,-,78.9
192,University of Calgary,Canada,8,-,232,-,152,78.8
193,Technical University of Denmark,Denmark,3,369,794,187,185,78.8
194,Tianjin University,China,15,-,156,-,169,78.8
195,Harbin Institute of Technology,China,16,-,524,-,139,78.8
196,University of Kansas,USA,69,251,477,111,242,78.8
197,Xiamen University,China,17,-,83,-,216,78.7
198,University of Connecticut,USA,70,487,398,114,239,78.7
199,University of Münster,Germany,13,443,803,191,188,78.7
200,University of Lisbon,Portugal,1,438,1256,234,168,78.7
201,Waseda University,Japan,8,346,26,-,496,78.6
202,Lomonosov Moscow State University,Russia,1,120,413,199,223,78.6
203,Stony Brook University,USA,71,368,-,162,210,78.6
204,University of Waterloo,Canada,9,-,214,210,212,78.6
205,Brandeis University,USA,72,28,243,40,641,78.5
206,Shandong University,China,18,-,1127,-,146,78.5
207,Université catholique de Louvain,Belgium,3,-,514,128,235,78.5
208,Sichuan University,China,19,-,1011,-,148,78.5
209,University of Adelaide,Australia,8,175,891,-,156,78.5
210,University of Georgia,USA,73,405,296,170,228,78.4
211,Johannes Gutenberg University Mainz,Germany,14,-,-,180,207,78.4
212,University of Vienna,Austria,1,147,491,157,241,78.4
213,University of Ottawa,Canada,10,-,470,-,157,78.4
214,RWTH Aachen University,Germany,15,503,216,-,176,78.3
215,The Scripps Research Institute,USA,74,-,-,42,334,78.3
216,Hong Kong University of Science and Technology,China,20,-,521,140,244,78.3
217,Technical University of Dresden,Germany,16,-,1595,-,158,78.3
218,University of Würzburg,Germany,17,143,1102,232,211,78.3
219,Tongji University,China,21,-,200,-,187,78.2
220,South China University of Technology,China,22,-,301,-,178,78.2
221,Hokkaido University,Japan,9,350,242,164,262,78.2
222,Université libre de Bruxelles,Belgium,4,445,339,173,246,78.2
223,Jilin University,China,23,-,369,-,180,78.2
224,University of Missouri–Columbia,USA,75,431,246,88,313,78.1
225,Georgetown University,USA,76,352,47,-,345,78.1
226,Central South University,China,24,-,250,-,186,78.1
227,Kiel University,Germany,18,353,1080,142,254,78.1
228,Nankai University,China,25,-,131,-,217,78
229,University of Erlangen–Nuremberg,Germany,19,424,872,-,171,78
230,University of Turin,Italy,5,242,1116,-,177,78
231,KAIST,South Korea,5,-,129,-,222,78
232,Claude Bernard University Lyon 1,France,12,-,918,-,173,78
233,University of Illinois at Chicago,USA,77,491,763,274,181,77.9
234,Charles University in Prague,Czech Republic,1,328,1326,-,175,77.9
235,Trinity College Dublin,Ireland,1,205,85,245,293,77.9
236,London School of Hygiene & Tropical Medicine,United Kingdom,20,276,-,175,240,77.9
237,University of Miami,USA,78,-,233,-,195,77.9
238,University of Naples Federico II,Italy,6,-,757,-,179,77.8
239,Yeshiva University,USA,79,99,-,193,270,77.8
240,Kyushu University,Japan,10,270,119,-,232,77.8
241,Karlsruhe Institute of Technology,Germany,20,470,279,-,192,77.8
242,University of Cincinnati,USA,80,478,244,-,199,77.8
243,University of Sussex,United Kingdom,21,117,534,81,360,77.7
244,Southeast University,China,26,-,795,-,183,77.7
245,University of Reading,United Kingdom,22,116,122,110,398,77.7
246,University of Leicester,United Kingdom,23,-,1520,96,294,77.7
247,Complutense University of Madrid,Spain,3,203,183,220,272,77.7
248,Hong Kong Polytechnic University,China,27,-,298,-,206,77.6
249,"University of California, Riverside",USA,81,386,-,212,234,77.6
250,"Soochow University, China",China,28,-,-,-,190,77.6
251,University of Texas Health Science Center at Houston,USA,82,-,-,148,274,77.6
252,University of Bordeaux,France,13,-,1131,-,193,77.6
253,Maastricht University,Netherlands,9,-,1370,-,196,77.6
254,"University of Tennessee, Knoxville",USA,83,423,511,-,204,77.5
255,P.N. Lebedev Physical Institute of the Russian Academy of Sciences,Russia,2,32,-,113,527,77.5
256,Paul Sabatier University,France,14,-,-,-,197,77.5
257,Wake Forest University,USA,84,-,66,-,318,77.5
258,Colorado State University,USA,85,454,1354,195,253,77.5
259,City University of Hong Kong,China,29,-,989,-,202,77.4
260,Virginia Commonwealth University,USA,86,-,984,117,306,77.4
261,King Abdulaziz University,Saudi Arabia,1,-,1283,-,205,77.4
262,University of Houston,USA,87,-,179,125,346,77.4
263,University of Exeter,United Kingdom,24,375,717,-,209,77.4
264,University of Florence,Italy,7,-,772,-,208,77.3
265,Delft University of Technology,Netherlands,10,260,422,-,221,77.3
266,HEC Paris,France,15,-,7,-,-,77.3
267,University of Tsukuba,Japan,11,-,-,145,296,77.3
268,University of Pisa,Italy,8,316,1258,-,215,77.3
269,Beihang University,China,30,-,865,-,218,77.3
270,University of Cape Town,South Africa,1,178,237,-,250,77.2
271,University of Genoa,Italy,9,529,1144,243,249,77.2
272,University of Auckland,New Zealand,1,511,459,-,227,77.2
273,Oregon State University,USA,88,226,516,217,280,77.2
274,Virginia Tech,USA,89,493,332,-,233,77.2
275,National and Kapodistrian University of Athens,Greece,1,-,607,-,226,77.2
276,Oregon Health & Science University,USA,90,-,-,-,224,77.1
277,National Autonomous University of Mexico,Mexico,1,394,1533,239,261,77.1
278,University of East Anglia,United Kingdom,25,88,-,171,358,77.1
279,China Europe International Business School,China,31,-,5,-,-,77.1
280,University of Lorraine,France,16,525,492,174,298,77.1
281,Leipzig University,Germany,21,208,-,203,287,77
282,Dalian University of Technology,China,32,-,280,-,243,77
283,University of Manitoba,Canada,11,329,297,190,303,77
284,University of Valencia,Spain,4,-,1453,-,229,77
285,Autonomous University of Madrid,Spain,5,-,1044,-,230,77
286,University of Bergen,Norway,3,376,-,-,231,77
287,King Abdullah University of Science and Technology,Saudi Arabia,2,-,-,166,311,76.9
288,University College Dublin,Ireland,2,-,264,-,252,76.9
289,Florida State University,USA,91,-,543,-,238,76.9
290,University of Liège,Belgium,5,180,-,106,375,76.9
291,University of Massachusetts Medical School,USA,92,-,-,84,386,76.9
292,University of the Witwatersrand,South Africa,2,193,99,-,327,76.9
293,University of Antwerp,Belgium,6,-,442,-,245,76.8
294,George Washington University,USA,93,401,160,-,281,76.8
295,Medical University of Vienna,Austria,2,-,-,-,237,76.8
296,University of Aberdeen,United Kingdom,26,288,753,156,340,76.8
297,Laval University,Canada,12,516,367,-,255,76.8
298,Washington State University,USA,94,-,988,185,315,76.8
299,"University of California, Santa Cruz",USA,95,373,1373,265,263,76.7
300,University at Buffalo,USA,96,-,608,-,251,76.7
301,"University of Maryland, Baltimore",USA,97,-,-,-,247,76.7
302,University of Southern Denmark,Denmark,4,-,1596,-,248,76.7
303,University of Pavia,Italy,10,472,787,220,295,76.7
304,University of Delaware,USA,98,380,487,164,348,76.7
305,University of South Florida,USA,99,-,836,-,259,76.6
306,University of Kentucky,USA,100,296,538,-,267,76.6
307,Hanyang University,South Korea,6,-,190,-,290,76.6
308,University of Porto,Portugal,2,508,756,-,264,76.6
309,University of Nebraska–Lincoln,USA,101,169,406,-,282,76.6
310,National Yang Ming Chiao Tung University,Taiwan,2,-,251,-,284,76.6
311,Beijing Normal University,China,33,-,1201,-,266,76.5
312,University of Lille,France,17,-,-,-,265,76.5
313,Beijing Institute of Technology,China,34,-,881,-,269,76.5
314,University of Duisburg-Essen,Germany,22,-,996,-,268,76.5
315,Wayne State University,USA,102,486,395,-,277,76.5
316,Ruhr University Bochum,Germany,23,-,424,-,276,76.5
317,Hunan University,China,35,-,570,-,273,76.5
318,University of New Mexico,USA,103,-,-,-,271,76.4
319,University of Electronic Science and Technology of China,China,36,-,637,-,279,76.4
320,Queen's University,Canada,13,462,388,211,359,76.4
321,Northeastern University,USA,104,315,188,-,321,76.4
322,Friedrich Schiller University Jena,Germany,24,524,-,260,300,76.4
323,University of York,United Kingdom,27,214,-,-,288,76.4
324,London School of Economics and Political Science,United Kingdom,28,259,82,256,440,76.3
325,Ulm University,Germany,25,-,1057,-,283,76.3
326,Southern Methodist University,USA,105,190,31,-,673,76.3
327,University of Granada,Spain,6,-,-,-,285,76.3
328,Polytechnic University of Milan,Italy,11,371,468,200,371,76.3
329,Durham University,United Kingdom,29,341,353,-,305,76.3
330,Zhengzhou University,China,37,-,1120,-,289,76.3
331,University of Rome Tor Vergata,Italy,12,-,1608,-,291,76.2
332,Chongqing University,China,38,-,485,-,302,76.2
333,Umeå University,Sweden,7,-,1232,268,317,76.2
334,École des ponts ParisTech,France,18,174,23,-,952,76.2
335,China Agricultural University,China,39,-,1264,-,297,76.2
336,University of Milano-Bicocca,Italy,13,-,-,-,299,76.2
337,University of South Carolina - Columbia,USA,106,-,632,-,307,76.2
338,University of Düsseldorf,Germany,26,221,-,-,314,76.1
339,Lancaster University,United Kingdom,30,-,631,-,310,76.1
340,Curtin University,Australia,9,-,1270,-,301,76.1
341,Dalhousie University,Canada,14,313,344,-,326,76.1
342,Lanzhou University,China,40,-,1036,-,304,76.1
343,Eindhoven University of Technology,Netherlands,11,-,993,230,365,76.1
344,Versailles Saint-Quentin-en-Yvelines University,France,19,-,-,-,308,76
345,Aalto University,Finland,2,-,213,-,351,76
346,University of Campinas,Brazil,2,-,-,-,309,76
347,University of the Basque Country,Spain,7,-,1132,-,312,76
348,University of Belgrade,Serbia,1,474,-,-,316,76
349,National Cheng Kung University,Taiwan,3,-,132,-,384,76
350,University of Dundee,United Kingdom,31,506,1031,133,437,76
351,Temple University,USA,107,-,601,-,324,75.9
352,Islamic Azad University,Iran,1,-,-,-,319,75.9
353,Hannover Medical School,Germany,27,-,-,268,332,75.9
354,Simon Fraser University,Canada,15,-,1122,-,320,75.9
355,Ben-Gurion University of the Negev,Israel,5,-,-,205,391,75.9
356,University of Technology Sydney,Australia,10,-,1005,-,322,75.9
357,King Saud University,Saudi Arabia,3,-,352,-,336,75.9
358,Shenzhen University,China,41,-,835,-,325,75.8
359,Vrije Universiteit Brussel,Belgium,7,450,1632,-,323,75.8
360,Macquarie University,Australia,11,-,520,-,331,75.8
361,Federal University of Rio de Janeiro,Brazil,3,453,460,-,337,75.8
362,Drexel University,USA,108,-,261,227,414,75.8
363,Polytechnic University of Catalonia,Spain,8,-,510,-,338,75.8
364,University of St Andrews,United Kingdom,32,289,823,229,396,75.8
365,University of Buenos Aires,Argentina,1,319,1397,-,330,75.8
366,Queen's University Belfast,United Kingdom,33,397,999,-,328,75.7
367,Northwestern Polytechnical University,China,42,-,644,-,333,75.7
368,Aalborg University,Denmark,5,-,874,-,329,75.7
369,East China Normal University,China,43,-,390,-,354,75.7
370,Peking Union Medical College,China,44,-,-,-,335,75.7
371,Linköping University,Sweden,8,-,647,-,343,75.7
372,University of Otago,New Zealand,2,-,886,-,339,75.7
373,University of Parma,Italy,14,297,1007,93,521,75.6
374,University of Marburg,Germany,28,165,1575,183,444,75.6
375,Albert Einstein College of Medicine,USA,109,-,-,-,341,75.6
376,Deakin University,Australia,12,-,1051,-,342,75.6
377,Louisiana State University,USA,110,458,281,-,370,75.6
378,International Institute for Management Development,Switzerland,8,-,10,-,-,75.6
379,Kyung Hee University,South Korea,7,-,932,-,350,75.6
380,Capital Medical University,China,45,-,-,-,347,75.5
381,Jagiellonian University,Poland,1,-,-,-,349,75.5
382,Queensland University of Technology,Australia,13,-,1141,-,353,75.5
383,Technical University of Berlin,Germany,29,177,612,-,369,75.5
384,Griffith University,Australia,14,-,1384,-,352,75.5
385,Pontifical Catholic University of Chile,Chile,1,510,207,-,389,75.5
386,Justus Liebig University Giessen,Germany,30,-,-,-,355,75.5
387,Pohang University of Science and Technology,South Korea,8,-,-,-,356,75.5
388,East China University of Science and Technology,China,46,-,1584,-,357,75.4
389,University of Science and Technology Beijing,China,47,-,202,-,394,75.4
390,University of Wollongong,Australia,15,-,659,-,364,75.4
391,University of Malaya,Malaysia,1,-,515,-,368,75.4
392,City College of New York,USA,111,22,482,-,843,75.4
393,University of Innsbruck,Austria,3,-,760,248,403,75.4
394,University of Perugia,Italy,15,-,-,-,361,75.4
395,University of Turku,Finland,3,-,1570,-,362,75.4
396,National Research Center «Kurchatov Institute»,Russia,3,-,-,-,363,75.3
397,University of Victoria,Canada,16,-,1387,-,366,75.3
398,University of Newcastle,Australia,16,-,1352,-,367,75.3
399,Chalmers University of Technology,Sweden,9,514,263,-,397,75.3
400,"University of Oklahoma, Norman",USA,112,-,392,-,383,75.3
401,University Paris-Est Créteil,France,20,-,938,-,372,75.3
402,University of Warsaw,Poland,2,489,880,-,374,75.3
403,Pompeu Fabra University,Spain,9,-,1193,-,373,75.2
404,Medical University of South Carolina,USA,113,-,-,-,376,75.2
405,Swedish University of Agricultural Sciences,Sweden,10,282,1360,-,381,75.2
406,University of Tasmania,Australia,17,-,-,-,377,75.2
407,"University at Albany, SUNY",USA,114,191,733,213,463,75.2
408,University of Regensburg,Germany,31,-,971,-,379,75.2
409,University of Seville,Spain,10,-,1643,-,378,75.2
410,University of Oregon,USA,115,152,-,-,407,75.2
411,University of Bari,Italy,16,-,-,-,380,75.1
412,Kyungpook National University,South Korea,9,-,1043,-,382,75.1
413,University of Coimbra,Portugal,3,421,1302,-,385,75.1
414,University of Saskatchewan,Canada,17,291,634,-,395,75.1
415,National Tsing Hua University,Taiwan,4,378,826,-,390,75.1
416,University of Ljubljana,Slovenia,1,-,-,-,387,75.1
417,Aristotle University of Thessaloniki,Greece,2,-,1543,-,388,75.1
418,Vienna University of Technology,Austria,4,406,554,-,408,75.1
419,São Paulo State University,Brazil,4,-,-,-,393,75
420,University of Ulsan,South Korea,10,-,730,-,401,75
421,Indian Institute of Management Ahmedabad,India,1,362,11,-,-,75
422,Nanjing Agricultural University,China,48,-,1330,-,400,75
423,University of Clermont Auvergne,France,21,-,-,-,399,75
424,University of Texas at Dallas,USA,116,377,603,-,409,75
425,University of Twente,Netherlands,12,-,1065,-,405,75
426,Catholic University of the Sacred Heart,Italy,17,-,1299,-,404,75
427,University of Rennes 1,France,22,-,-,-,402,75
428,University of Côte d'Azur,France,23,-,-,-,406,74.9
429,Tampere University,Finland,4,-,556,-,411,74.9
430,Shanghai University,China,49,-,1058,-,410,74.9
431,University of Chile,Chile,2,-,648,-,412,74.9
432,Texas Tech University,USA,117,-,518,-,418,74.9
433,York University,Canada,18,-,317,-,428,74.9
434,Thomas Jefferson University,USA,118,-,-,-,413,74.9
435,Chonnam National University,South Korea,11,-,1235,-,415,74.9
436,Amherst College,USA,119,23,46,-,-,74.8
437,University of Mississippi,USA,120,-,-,-,416,74.8
438,Nanjing Medical University,China,50,-,-,-,417,74.8
439,Beijing University of Chemical Technology,China,51,-,1394,-,419,74.8
440,Nanjing University of Science and Technology,China,52,-,643,-,421,74.8
441,Stellenbosch University,South Africa,3,-,195,-,462,74.8
442,Stockholm School of Economics,Sweden,11,-,19,264,1893,74.8
443,University of Bath,United Kingdom,34,-,597,-,423,74.8
444,Pusan National University,South Korea,12,-,368,-,432,74.7
445,Hiroshima University,Japan,12,-,1016,-,420,74.7
446,Kansas State University,USA,121,343,496,-,430,74.7
447,Northwest A&F University,China,53,-,1587,-,422,74.7
448,Indiana University – Purdue University Indianapolis,USA,122,-,817,-,425,74.7
449,Huazhong Agricultural University,China,54,-,1414,-,424,74.7
450,Saint Louis University,USA,123,-,350,187,536,74.7
451,Kobe University,Japan,13,298,428,-,441,74.7
452,University of Trento,Italy,18,-,-,-,426,74.7
453,Tulane University,USA,124,218,324,-,460,74.6
454,Vita-Salute San Raffaele University,Italy,19,-,-,-,427,74.6
455,University of Navarra,Spain,11,-,115,254,565,74.6
456,University of Trieste,Italy,20,-,953,-,429,74.6
457,University of Alabama - Tuscaloosa,USA,125,430,223,-,468,74.6
458,Antioch College,USA,126,10,-,-,-,74.6
459,University of Oulu,Finland,5,-,626,-,434,74.6
460,Jinan University,China,55,-,602,-,435,74.6
461,Federal University of Rio Grande do Sul,Brazil,5,-,1439,-,431,74.6
462,Syracuse University,USA,127,161,184,-,519,74.5
463,Wuhan University of Technology,China,56,-,960,-,433,74.5
464,Chulalongkorn University,Thailand,1,-,108,-,546,74.5
465,George Mason University,USA,128,-,1469,238,502,74.5
466,Martin Luther University Halle-Wittenberg,Germany,32,442,-,251,484,74.5
467,Florida International University,USA,129,-,1432,-,438,74.5
468,University of Catania,Italy,21,358,-,-,442,74.5
469,Okayama University,Japan,14,344,691,-,451,74.5
470,Medical College of Wisconsin,USA,130,-,-,-,439,74.5
471,Nanjing University of Aeronautics and Astronautics,China,57,-,1118,-,443,74.4
472,University of Santiago de Compostela,Spain,12,-,895,-,446,74.4
473,University of Central Florida,USA,131,-,1012,-,445,74.4
474,University of Vermont,USA,132,-,450,-,459,74.4
475,University of Louisville,USA,133,-,777,-,449,74.4
476,University of Stuttgart,Germany,33,123,333,-,517,74.4
477,La Trobe University,Australia,18,-,1154,-,448,74.4
478,University of Eastern Finland,Finland,6,-,-,-,447,74.4
479,University of Guelph,Canada,19,-,1083,-,450,74.4
480,Xidian University,China,58,349,1064,-,452,74.3
